x,y
879,260
888,764
105,181
861,952
96,703
229,674
402,433
673,892
110,399
925,737
364,953
135,231
414,18
984,91
789,754
883,518
782,727
573,455
602,299
103,828
359,632
15,627
853,228
546,107
694,523
922,408
624,140
575,142
439,888
161,571
102,51
375,359
491,42
654,112
24,561
875,259
796,476
901,785
633,463
40,978
860,270
399,431
490,145
453,818
422,251
512,430
993,429
632,859
742,66
494,418
425,315
175,546
139,22
298,729
115,33
906,661
920,690
83,863
900,635
745,342
419,175
284,400
212,95
403,150
694,475
1,569
698,286
306,440
113,126
413,727
918,406
462,603
883,920
348,903
136,182
371,835
914,176
802,139
752,320
302,770
832,224
900,747
418,916
830,74
417,426
75,414
325,943
163,758
554,14
328,604
25,560
575,326
699,476
152,131
139,286
170,986
461,641
292,893
648,731
690,990
469,408
960,424
643,85
774,406
518,186
483,626
350,345
712,145
77,849
556,839
509,171
92,702
15,751
700,453
8,275
579,437
277,499
746,280
470,239
456,897
350,456
904,397
264,579
713,835
130,974
848,92
119,286
888,722
575,74
429,418
798,962
636,741
958,894
505,749
229,806
561,756
743,279
800,764
801,298
502,54
738,706
278,188
306,948
977,35
247,112
907,408
426,342
689,380
386,201
249,798
620,694
551,477
808,932
22,840
176,695
342,445
460,706
764,269
203,929
535,281
607,538
198,328
862,155
68,401
843,534
546,884
398,136
877,961
799,840
13,706
606,388
779,910
292,802
588,278
316,569
473,528
772,310
202,861
954,564
804,684
767,895
902,488
557,448
878,149
614,733
501,577
515,103
795,754
229,790
873,256
806,528
61,598
873,16
817,989
108,974
952,107
630,953
511,144
325,203
562,282
209,837
567,348
936,659
64,441
169,533
867,21
820,952
345,861
701,368
189,924
691,569
969,659
341,303
430,189
285,24
304,584
43,703
129,61
468,895
672,83
575,724
586,607
354,352
308,172
659,617
901,191
366,790
240,320
81,754
504,291
448,325
481,40
262,607
786,159
768,81
454,479
303,514
884,415
449,330
923,593
381,669
614,416
920,246
537,754
979,914
227,244
185,942
145,538
115,611
710,650
850,521
947,437
985,514
196,638
145,453
385,170
579,879
396,560
640,146
75,924
868,244
523,234
491,12
904,447
974,896
312,862
135,949
571,311
113,348
280,693
81,677
248,475
758,765
799,9
696,196
97,99
788,58
243,999
91,701
246,483
804,943
26,102
827,124
589,13
324,942
696,87
370,12
697,659
573,472
412,153
566,890
971,515
495,263
429,143
529,613
223,759
501,878
211,964
501,995
56,966
33,841
791,802
980,650
449,853
325,359
510,857
969,984
240,794
336,821
41,922
578,81
494,711
8,162
213,826
314,742
782,868
766,627
425,744
15,965
8,892
997,802
808,688
996,545
100,734
455,470
391,819
163,853
603,257
319,145
923,903
340,282
657,424
713,518
179,226
446,208
576,891
246,142
689,146
267,215
755,522
294,61
615,986
331,767
58,375
970,12
648,518
904,228
947,86
427,277
538,466
19,197
799,737
916,839
660,642
619,501
400,193
917,772
921,909
978,590
472,934
134,571
326,41
416,215
37,281
43,167
229,631
835,311
208,308
83,985
335,774
19,299
109,221
48,724
908,308
132,388
581,850
268,298
911,960
541,939
368,58
285,942
538,761
204,563
789,783
380,266
986,924
109,145
403,327
312,390
928,432
268,281
264,152
211,961
256,737
609,302
672,135
196,880
737,858
236,142
124,941
871,228
440,447
538,23
265,935
867,994
794,196
289,236
440,351
313,420
647,775
363,399
322,363
166,974
956,381
331,516
250,237
658,186
144,693
666,782
19,964
48,321
829,15
873,798
98,36
80,801
154,42
288,778
936,260
810,160
401,917
182,572
877,141
25,476
610,796
385,972
349,544
742,243
645,867
666,207
688,478
713,670
958,824
643,703
787,472
224,764
282,60
123,324
618,203
899,159
315,157
728,170
384,354
551,287
239,523
221,921
989,321
76,590
968,693
686,593
966,406
709,563
53,129
909,895
611,788
336,64
423,971
983,713
776,461
439,657
481,554
648,177
161,421
47,897
22,919
606,577
337,420
659,528
321,869
145,986
884,394
859,995
126,578
699,499
372,404
281,988
628,772
745,575
58,4
389,774
838,708
490,859
691,886
561,521
448,668
939,355
50,790
819,831
399,423
10,158
974,352
331,146
658,693
429,997
931,136
222,525
10,262
855,654
397,207
207,743
604,727
850,980
639,748
282,893
449,139
945,950
712,389
636,702
998,712
306,808
190,876
17,253
58,367
244,147
90,748
775,485
187,227
261,785
369,890
207,675
663,665
860,548
580,37
721,995
461,128
469,629
845,240
144,515
210,938
65,405
811,867
398,206
90,524
594,814
324,988
630,54
658,75
36,887
67,124
337,504
402,142
998,736
178,13
569,366
436,563
307,817
619,564
616,202
994,918
344,691
14,866
878,885
325,737
44,593
803,868
266,691
46,65
768,690
697,645
121,84
570,468
146,292
898,752
804,310
295,208
716,169
775,70
262,0
754,862
101,937
737,87
239,631
925,458
445,806
729,201
641,774
913,480
303,548
174,880
947,613
423,907
937,647
261,920
648,317
361,302
806,668
633,85
201,31
509,323
450,476
494,705
717,392
330,108
106,178
914,160
874,848
937,123
278,154
698,452
341,978
340,325
500,185
435,365
544,907
412,375
956,547
814,760
805,233
319,839
261,962
721,406
155,323
641,193
840,206
216,105
257,476
246,767
192,5
487,264
0,752
735,241
428,522
88,130
762,874
255,224
546,989
658,276
928,755
789,191
581,296
620,828
9,883
637,739
993,735
991,2
8,907
792,359
858,49
269,703
215,851
370,487
668,584
750,585
859,879
620,115
923,910
998,206
473,511
273,433
5,769
162,943
821,234
2,446
345,754
944,840
802,982
557,529
959,517
19,844
135,263
375,536
778,824
260,567
35,44
742,718
646,176
285,359
419,75
428,598
406,783
141,122
690,665
934,157
630,807
125,189
642,181
247,73
703,193
238,517
374,100
104,866
606,505
623,481
765,494
276,244
665,859
730,501
198,248
710,981
434,949
573,491
649,899
296,981
62,527
585,130
348,84
772,167
995,416
494,146
197,157
742,741
735,73
303,29
402,584
647,593
166,531
230,750
772,221
380,368
889,828
41,245
35,314
216,435
186,149
560,164
897,165
676,883
175,957
946,781
304,633
334,199
443,534
423,888
145,950
674,888
812,259
36,265
380,696
496,780
266,542
391,290
106,473
734,728
30,722
862,943
609,595
45,690
187,7
673,931
345,461
208,806
533,121
891,631
644,483
797,838
513,989
995,9
286,789
911,525
481,914
825,850
368,973
563,357
153,431
562,68
962,51
740,222
258,491
366,953
723,948
54,228
141,17
644,830
720,612
991,822
609,201
160,486
526,971
702,157
91,953
688,399
723,408
777,999
986,876
312,10
314,570
606,789
161,140
127,363
518,463
910,705
419,682
257,633
480,420
529,7
895,412
555,743
106,532
573,637
837,62
490,468
631,541
643,308
967,161
500,347
489,366
768,839
105,548
549,83
732,76
111,874
852,344
48,200
254,119
879,865
801,730
260,407
377,580
152,464
977,147
608,825
418,580
950,972
953,896
117,914
829,206
956,152
603,336
489,335
540,347
36,867
902,755
455,264
707,305
297,123
727,992
678,317
827,346
506,413
293,712
691,798
596,767
842,337
221,52
944,125
354,187
917,19
717,506
3,48
937,57
377,633
690,144
211,123
997,827
190,878
159,488
165,957
619,931
883,844
370,927
363,927
158,445
908,83
214,892
946,936
914,836
766,89
936,55
636,370
427,983
818,494
683,228
977,287
947,141
533,547
415,353
647,491
229,956
974,314
558,723
216,933
908,974
390,874
669,263
977,889
541,115
279,607
480,677
812,208
146,439
57,443
61,112
312,164
64,869
49,844
958,509
910,406
41,872
643,875
875,979
419,210
263,272
821,655
534,779
406,388
619,495
26,613
56,453
180,626
200,332
195,290
517,631
552,285
786,168
648,457
299,154
884,22
34,969
829,898
666,828
260,596
538,243
916,411
10,340
72,991
339,911
764,643
199,346
272,609
146,522
614,361
834,59
198,771
695,519
497,440
383,502
807,372
454,194
481,831
334,730
584,442
188,475
575,113
717,255
112,550
848,453
367,403
777,566
773,238
658,697
107,221
684,856
585,302
990,723
216,504
577,539
260,811
510,833
664,251
402,935
247,601
232,653
228,167
264,57
863,55
238,811
170,236
821,257
369,186
206,466
995,399
279,906
926,396
793,445
232,214
955,305
510,88
145,511
506,271
430,655
500,107
486,536
708,239
591,653
364,231
826,430
993,642
535,375
873,372
382,951
520,692
693,644
528,143
848,720
582,762
245,610
744,692
826,129
551,267
501,716
224,203
861,340
221,616
515,789
694,184
283,444
132,792
663,961
974,791
144,468
662,510
539,679
707,12
802,185
90,814
970,299
933,48
867,138
545,893
354,995
425,987
985,114
960,708
883,492
247,422
466,407
918,240
388,583
61,73
780,843
395,439
615,598
82,912
929,542
683,497
122,740
317,416
630,653
956,26
917,122
7,78
110,708
210,343
191,322
51,275
390,219
491,115
541,915
423,937
963,547
574,444
460,41
242,959
488,815
725,719
871,152
395,717
72,754
877,939
916,260
202,590
831,411
946,23
587,227
757,760
11,930
217,693
971,993
179,992
346,153
296,172
139,431
62,284
44,373
700,751
720,522
450,495
225,907
411,179
231,765
64,886
390,0
411,405
102,938
872,897
957,297
872,499
484,137
347,32
9,461
549,957
117,629
875,579
48,208
884,586
964,780
664,838
86,453
584,402
889,461
255,618
774,55
610,486
504,154
492,527
992,29
494,945
34,451
731,829
774,215
518,369
39,268
528,713
821,814
350,663
770,81
546,688
197,955
995,690
937,565
824,704
74,474
154,256
674,237
290,809
84,603
497,910
756,187
77,361
174,66
321,323
946,50
335,452
380,231
600,412
690,857
802,902
691,843
299,219
700,293
343,238
315,303
755,797
305,805
85,109
143,112
484,653
274,900
348,982
454,71
52,46
520,259
473,895
676,570
848,368
249,904
245,871
215,55
990,88
386,473
634,187
852,901
216,307
758,251
316,46
646,914
670,886
585,645
91,855
842,315
742,92
570,678
776,813
567,520
1,146
154,640
310,571
467,615
769,75
219,82
140,566
271,274
103,829
679,268
386,512
27,539
122,16
927,265
804,209
887,867
960,528
976,72
133,32
840,486
605,895
716,289
323,415
107,426
630,431
638,401
591,158
451,623
466,485
153,298
999,91
41,454
422,926
128,608
24,108
164,142
949,682
476,355
344,384
822,289
651,9
30,926
361,313
616,795
367,9
675,893
294,319
73,158
248,478
10,295
602,864
430,7
139,83
462,630
410,898
573,19
497,711
874,891
730,841
615,97
598,811
166,234
958,567
410,184
280,116
380,462
61,247
483,968
771,325
25,331
276,454
457,779
521,324
272,145
946,619
910,817
733,845
676,581
298,626
95,926
178,448
456,497
391,27
629,225
939,146
550,92
58,388
940,413
775,27
552,725
724,835
245,672
111,142
898,322
628,452
972,178
627,149
654,731
463,77
665,73
964,949
612,529
167,869
725,597
657,481
586,187
45,581
287,79
722,950
471,310
901,948
341,982
598,450
327,962
31,388
20,137
428,255
972,167
136,956
287,352
130,906
561,487
849,505
845,391
590,503
6,127
157,0
848,895
297,529
398,884
359,554
477,209
860,177
650,349
408,954
327,496
16,257
909,924
156,309
557,599
356,725
395,958
146,824
59,945
314,180
603,6
805,128
298,66
152,936
157,627
871,828
608,803
63,812
337,563
872,961
914,34
600,823
559,617
992,568
316,317
626,80
975,636
697,910
674,635
110,639
771,236
825,524
412,784
249,712
712,432
348,480
483,824
336,952
126,874
597,427
141,903
615,686
316,881
983,372
878,94
317,239
436,807
311,102
280,132
356,150
498,997
247,706
193,604
155,972
488,995
142,48
199,773
56,276
386,216
384,538
222,883
619,115
34,833
9,224
83,838
70,122
204,382
48,698
988,255
170,274
554,925
769,902
616,939
623,911
183,426
551,76
398,624
869,521
323,337
934,908
18,325
999,489
671,864
797,70
326,262
972,101
53,211
914,109
267,487
584,806
751,197
43,429
181,593
632,778
264,31
431,530
945,210
446,292
695,611
437,953
366,717
830,492
524,594
96,978
149,674
433,968
288,589
349,573
434,490
212,713
849,960
672,133
964,572
263,816
397,429
717,761
684,489
874,948
374,639
130,567
221,656
236,570
832,249
259,498
486,228
633,88
374,856
456,785
343,283
802,330
727,314
23,578
100,649
94,403
826,986
284,474
539,419
265,69
703,216
261,497
318,430
678,635
118,344
371,484
900,558
555,633
154,314
208,306
687,846
266,208
863,141
300,556
755,120
767,821
181,642
309,288
467,376
307,883
141,722
155,351
577,751
268,513
97,766
384,38
333,666
298,709
14,73
746,394
587,771
412,713
463,346
750,325
565,435
254,882
204,829
467,219
196,427
524,519
380,37
802,862
530,750
107,970
114,337
591,976
758,826
415,808
778,399
259,614
335,160
9,948
34,97
446,809
969,855
445,908
71,155
346,55
86,102
913,44
59,380
784,934
984,776
532,911
174,334
558,336
798,0
965,844
64,437
463,53
333,429
61,484
916,311
322,90
718,142
914,395
626,443
686,900
313,326
395,36
810,864
236,770
425,462
475,925
515,152
915,658
814,121
806,92
794,632
14,814
755,649
366,282
252,467
142,629
330,37
192,251
467,434
548,525
684,932
219,252
39,272
895,54
427,176
43,874
263,487
326,457
546,157
966,635
713,925
982,141
530,788
216,543
142,225
249,264
98,830
762,408
984,989
420,145
823,638
501,150
237,497
889,602
84,851
386,471
588,690
320,612
65,28
893,1
984,142
315,339
125,310
427,697
191,553
737,335
856,403
451,949
811,537
344,875
333,769
301,475
136,810
844,262
87,288
894,896
438,397
465,10
42,425
539,335
831,693
182,863
117,98
312,32
434,44
448,107
832,626
798,620
193,752
259,365
874,669
792,657
190,421
926,917
468,200
998,962
609,240
750,99
329,628
771,674
629,240
624,490
196,825
866,238
35,231
742,266
461,453
423,493
556,324
696,909
815,6
148,639
55,599
487,414
209,415
418,375
9,643
135,373
719,122
59,437
245,347
947,62
241,892
753,968
652,846
98,996
245,693
685,118
288,258
625,940
421,42
415,687
891,904
175,326
941,6
421,561
315,164
535,796
105,478
458,391
875,562
916,900
898,737
564,14
19,182
394,978
303,969
111,498
68,763
577,412
886,917
929,348
859,812
360,865
905,607
73,674
5,937
312,656
986,300
864,287
95,35
909,281
987,165
906,243
266,933
482,551
391,73
518,187
90,360
151,811
627,782
665,983
279,540
766,318
403,780
902,669
378,758
259,785
466,478
57,265
495,163
232,355
604,970
275,540
476,213
862,556
114,751
715,169
461,103
234,888
70,991
767,413
22,348
637,765
273,245
485,43
837,515
392,773
848,965
58,10
971,909
790,488
270,867
818,285
886,222
61,311
244,167
526,592
6,207
444,162
703,864
260,939
99,156
305,177
48,643
713,973
936,560
678,571
44,975
903,946
629,946
979,23
629,214
441,126
657,766
547,156
871,461
378,715
788,483
714,693
159,756
908,946
894,255
114,550
29,763
126,1
692,389
800,99
191,251
152,899
551,30
532,701
909,103
733,345
504,511
466,244
119,785
783,834
517,344
677,834
167,630
756,438
693,621
437,225
489,303
60,254
735,753
200,968
845,295
345,447
540,694
923,839
366,738
926,931
345,638
441,442
609,429
233,191
790,484
303,833
491,399
374,249
252,992
378,329
118,850
789,793
961,776
421,982
517,929
969,80
267,637
175,745
146,102
648,527
94,1
420,386
194,455
274,334
375,839
92,957
740,174
964,940
933,604
636,723
608,761
128,945
307,262
366,704
379,78
697,805
264,674
722,946
917,209
88,482
956,57
989,632
878,444
736,654
788,32
783,836
164,122
786,437
481,530
215,0
270,175
81,49
4,540
312,267
816,39
678,876
850,527
756,663
334,616
496,335
81,439
106,574
136,696
300,875
87,385
986,795
237,671
357,61
635,964
184,114
792,616
853,369
462,139
6,74
968,371
66,246
460,751
26,110
802,806
945,479
331,642
294,147
275,176
96,874
252,942
419,312
207,441
777,268
147,228
434,668
263,750
941,210
689,757
538,476
13,84
737,512
431,48
878,566
458,222
861,854
11,655
658,392
969,157
647,259
95,466
383,494
187,60
403,656
716,807
575,193
221,1
325,679
534,933
211,786
514,64
376,687
879,747
691,958
267,368
812,911
304,342
434,378
916,54
425,76
585,594
194,774
203,224
123,833
918,135
419,260
21,347
954,4
114,344
311,255
348,18
102,738
627,626
720,447
82,737
677,75
499,968
100,539
417,740
962,407
102,871
712,57
421,253
151,244
278,820
364,481
235,831
706,625
930,908
86,702
896,21
117,363
234,153
914,276
825,867
293,573
714,653
199,670
457,646
731,488
135,802
326,904
483,930
558,930
337,437
794,19
180,630
896,614
84,182
776,792
491,110
187,748
906,673
660,778
680,524
366,32
513,834
673,906
531,905
428,314
673,257
369,924
497,837
33,281
969,444
643,293
920,714
372,906
33,18
275,29
216,338
774,979
898,709
94,169
960,227
834,287
871,509
952,342
955,609
122,438
149,514
890,942
882,836
907,515
125,163
578,235
784,248
923,76
592,705
886,817
851,286
937,38
863,204
251,587
636,382
842,952
667,595
913,248
94,772
167,992
4,475
933,873
266,667
358,844
226,792
598,855
148,964
912,362
347,667
515,5
761,803
154,285
735,508
338,955
8,931
589,502
713,651
978,448
233,499
621,437
369,127
229,747
485,742
480,878
462,987
907,325
338,262
425,247
613,155
185,64
973,726
101,380
702,609
753,93
779,600
717,85
155,381
605,429
327,527
539,451
610,493
667,689
25,573
674,898
210,16
252,914
419,448
367,179
379,689
940,299
779,56
791,222
198,148
638,424
898,286
518,986
278,226
602,826
503,746
872,93
551,437
747,241
579,273
262,293
703,824
257,192
607,227
164,44
377,90
189,275
372,185
873,730
902,461
69,259
674,791
907,234
456,219
993,954
138,339
217,112
830,718
43,60
522,267
77,415
607,268
230,366
744,853
345,219
683,717
970,104
68,731
785,88
756,244
75,820
18,931
503,868
169,503
936,374
264,229
819,542
786,432
83,551
122,334
568,819
675,53
404,330
693,211
424,257
307,382
730,167
735,686
423,136
742,518
75,424
140,820
474,259
927,756
432,129
548,517
319,403
642,711
985,563
229,998
122,842
850,394
791,497
671,794
290,680
262,390
187,45
834,111
192,976
49,12
229,130
497,961
956,317
670,718
491,792
574,272
751,544
212,621
16,46
296,882
934,463
481,702
21,16
687,299
72,845
349,194
630,752
318,854
619,383
940,123
758,998
569,647
100,986
850,887
448,960
593,876
698,64
264,630
992,657
554,696
534,344
13,90
623,930
639,65
22,857
609,669
237,190
165,217
253,582
762,323
928,359
405,527
345,440
659,416
593,673
992,218
550,753
468,839
303,614
302,576
894,276
114,482
891,284
403,415
990,0
172,892
611,323
890,699
327,777
203,310
706,562
881,559
764,918
669,135
915,552
23,778
196,211
519,137
115,632
759,335
218,766
752,556
887,978
247,23
747,388
704,206
697,188
323,996
75,976
453,343
513,159
666,117
250,799
490,230
709,559
355,748
286,586
358,21
694,488
650,278
439,644
131,433
474,270
829,648
519,448
675,897
977,470
177,982
447,948
583,64
141,97
65,795
904,243
554,211
207,64
923,137
814,114
473,502
518,382
32,223
327,350
540,602
838,176
729,180
149,360
710,305
642,581
329,263
609,262
689,321
272,398
200,546
490,319
567,193
458,461
773,821
308,545
322,462
85,681
824,930
224,702
335,211
6,430
584,389
291,436
151,520
117,187
987,176
929,14
913,274
647,952
698,208
147,572
905,692
388,54
694,985
856,359
912,786
140,776
222,483
622,190
79,431
856,838
523,572
715,697
425,911
376,44
575,388
740,548
765,155
891,130
244,421
447,791
518,362
484,96
104,596
762,448
315,902
685,98
791,929
974,437
994,849
765,957
910,542
389,300
377,205
745,142
504,991
462,87
215,449
110,40
510,685
209,928
442,627
792,914
779,679
994,384
232,814
688,611
358,476
100,971
151,431
896,997
921,171
895,48
114,434
838,255
487,693
87,422
425,148
706,155
182,733
731,149
343,737
441,101
253,558
193,585
559,165
348,953
818,653
720,599
233,288
549,314
863,550
921,744
206,495
304,90
796,349
248,200
775,670
540,810
209,301
658,906
104,310
307,533
343,359
887,671
544,897
863,986
102,453
865,430
497,86
815,422
698,477
43,467
374,683
110,256
47,441
763,196
175,245
764,357
911,505
387,622
397,17
778,250
297,987
11,954
554,619
947,399
56,651
92,746
358,333
578,421
291,45
324,709
404,415
299,670
726,92
55,664
913,778
738,875
478,505
868,438
130,364
464,629
705,378
56,702
686,30
594,758
834,35
881,76
344,339
163,885
10,501
540,823
506,352
698,695
899,466
700,506
761,872
337,748
437,832
271,911
852,54
649,943
802,362
528,433
8,334
365,567
706,340
130,412
262,550
613,55
998,857
82,903
489,658
675,794
406,27
525,730
701,512
285,878
632,5
387,841
714,792
150,193
323,614
823,689
990,192
382,580
820,119
330,386
352,655
260,184
108,258
766,412
50,409
388,60
840,987
275,435
699,504
521,898
104,624
536,494
719,184
740,994
247,234
45,524
555,245
525,424
837,476
658,748
190,384
294,803
788,744
11,821
606,717
249,921
998,151
255,758
951,602
184,885
179,8
609,904
172,872
896,693
792,927
280,331
385,46
719,576
828,197
866,18
571,308
500,126
27,402
324,687
644,316
102,242
656,884
504,685
676,432
732,462
703,586
494,311
558,100
820,966
972,253
40,393
289,912
255,553
761,686
755,368
102,52
258,424
765,179
17,836
21,379
663,95
720,62
31,225
990,221
75,454
285,731
85,245
334,741
128,774
415,642
392,992
918,303
625,531
450,439
110,965
682,416
546,510
112,260
967,292
182,493
105,892
889,535
56,605
554,473
473,496
948,501
261,200
215,516
336,48
76,669
933,239
922,52
187,284
335,253
888,449
851,27
85,586
519,358
528,322
819,271
70,536
235,858
779,647
988,531
282,219
423,410
605,768
764,472
747,985
696,725
67,925
493,295
432,824
549,388
408,495
694,953
822,839
985,138
514,173
714,732
229,16
711,806
164,454
5,406
22,480
141,964
381,70
167,442
391,714
728,882
988,716
441,189
199,616
285,437
588,738
214,42
240,436
444,42
225,220
568,498
750,763
990,396
368,492
998,950
638,901
618,570
548,283
627,776
918,893
493,20
314,990
902,800
539,436
778,169
920,14
81,410
259,713
635,926
450,111
3,619
7,833
882,417
82,262
518,487
461,647
806,951
915,382
905,970
788,392
943,759
277,198
269,324
863,223
534,29
702,368
126,527
199,914
986,479
733,628
315,928
637,762
494,924
546,209
344,759
254,176
756,349
617,723
361,286
121,892
503,89
526,487
982,11
602,184
822,887
486,183
943,782
786,310
994,834
805,241
390,347
99,514
416,871
49,238
433,128
804,790
211,403
263,500
467,287
990,341
344,924
509,965
26,560
227,922
919,343
478,785
227,518
758,961
530,88
840,836
691,489
188,305
151,964
637,540
565,995
300,543
862,829
948,220
420,908
562,954
896,343
881,907
526,976
277,525
1,857
925,585
891,709
207,385
593,306
243,296
362,270
279,857
670,577
598,208
646,517
983,860
681,527
946,37
841,224
514,194
828,449
117,193
639,812
983,815
117,533
798,71
936,874
706,416
599,967
909,131
413,840
241,191
616,519
472,959
625,771
619,456
80,9
305,411
588,478
426,357
417,529
749,622
332,790
375,878
479,13
270,751
985,722
491,318
946,376
142,159
303,96
886,650
40,157
898,52
791,899
770,495
965,153
483,972
751,970
494,254
765,747
799,605
658,606
741,303
266,36
324,662
971,664
194,712
892,791
162,915
107,599
303,661
591,833
104,875
543,427
542,887
685,222
698,919
836,259
975,179
89,467
835,623
811,215
804,287
726,788
653,248
756,558
824,203
997,312
855,460
540,182
136,280
878,782
344,82
497,115
204,723
646,793
341,413
737,825
97,510
877,824
732,387
588,705
470,412
590,464
51,166
786,644
873,935
196,464
427,259
729,682
283,107
346,631
198,191
680,30
904,907
738,994
716,974
14,429
958,111
782,212
552,931
799,299
958,272
638,144
15,358
982,53
819,231
824,795
929,300
860,854
140,892
621,424
572,853
301,39
617,862
770,913
511,29
573,189
246,141
550,248
524,225
971,42
861,20
377,540
590,70
773,163
752,251
565,818
106,110
227,811
433,503
802,430
981,924
80,866
721,85
435,746
92,499
225,706
887,679
900,435
368,176
458,931
347,250
585,155
717,466
917,576
359,428
319,932
320,243
872,831
630,723
414,906
225,309
465,324
48,607
531,190
293,185
280,138
22,13
969,188
221,520
263,985
609,821
542,407
256,472
609,919
798,934
916,40
547,683
733,484
903,457
903,299
576,304
603,716
72,853
542,511
746,87
627,566
334,371
232,112
198,968
788,63
667,578
458,62
18,930
728,730
196,491
568,338
237,45
212,196
884,540
875,960
78,978
982,425
532,523
713,254
191,274
483,227
316,685
750,645
877,91
410,375
992,769
805,703
352,145
946,13
169,799
921,250
233,694
781,73
715,514
260,964
988,540
254,140
813,171
841,588
304,900
892,852
813,315
796,301
328,185
731,831
197,364
253,100
857,220
798,269
516,194
654,120
195,971
312,329
788,787
974,423
748,325
859,626
656,815
342,843
444,434
453,634
888,943
417,277
467,199
379,434
267,777
248,98
832,619
335,7
857,654
361,876
117,797
369,841
9,608
776,295
507,16
589,75
433,757
629,769
716,979
172,436
142,319
618,113
593,812
743,924
408,782
15,185
602,436
719,957
627,21
508,489
749,827
593,137
290,859
569,786
15,59
569,293
919,904
340,36
171,625
558,190
676,331
216,686
501,627
548,573
959,228
800,167
566,176
896,895
438,785
602,106
512,481
620,142
353,301
226,51
525,243
159,579
588,933
691,189
830,832
28,985
580,926
738,436
770,917
570,622
983,651
3,960
580,23
422,981
518,120
619,704
649,697
297,702
995,418
368,856
982,266
369,894
953,355
882,933
756,119
80,807
776,428
207,187
725,807
446,689
850,353
569,46
251,799
182,872
130,754
553,115
946,987
739,952
562,996
951,748
506,190
474,397
615,629
173,617
842,93
48,527
485,380
749,364
687,355
783,428
949,535
885,200
269,20
180,263
695,369
477,296
922,282
826,49
48,233
143,963
569,865
901,163
270,876
193,975
951,155
957,761
460,992
746,862
149,697
516,638
85,763
272,346
371,929
707,168
609,920
197,191
653,77
364,379
775,48
857,788
823,83
752,734
269,155
501,559
35,399
190,816
658,446
312,680
820,615
184,400
608,278
195,107
924,28
128,239
715,463
358,26
237,342
521,814
969,168
487,737
183,590
589,190
247,873
920,109
334,669
479,69
810,930
611,161
534,880
156,788
342,70
871,414
920,375
364,827
274,410
354,545
28,423
41,498
571,247
617,861
265,559
402,46
137,198
905,120
611,40
269,796
181,274
804,528
742,78
71,444
407,818
564,433
829,466
703,85
581,790
701,520
374,287
722,984
278,377
679,55
144,242
276,591
728,307
848,650
97,167
46,948
319,538
102,552
771,242
269,621
109,236
944,602
660,30
307,756
708,713
711,783
435,733
970,789
59,222
977,453
904,913
823,526
282,99
968,120
665,31
286,530
391,390
327,886
369,674
427,419
774,674
853,786
479,310
906,650
443,431
117,448
91,263
808,674
874,632
947,415
807,744
405,241
789,426
349,354
749,451
202,447
84,207
812,516
43,523
686,951
859,887
377,554
465,71
